,序号,一级流程,二级流程,三级流程,处罚企业名称,处罚企业简称,处罚决定书文号（如适用）,事件描述,相关法规（如适用）,处罚措施（如适用）,处罚金额（万元）（如适用）,处罚机关（如适用）,处罚地域,处罚日期（如适用）,事件发生日期,事件类型,事件信息源,是否影响业务范围,事件内控类型（如适用）,损失事件类型,事件损失等级,事件损失等级得分,维护日期,维护人,备注
77,67,交易管理,网络支付管理,交易结算,上海盛付通电子支付服务有限公司山西分公司,盛付通,并银罚字〔2018〕第9号,违反了《非金融机构支付服务管理办法》规定。,《非金融机构支付服务管理办法》,警告及罚款人民币4万元。,4,中国人民银行太原中心支行,太原,2018-09-14,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
78,67,交易管理,银行卡收单管理,交易结算,上海盛付通电子支付服务有限公司山西分公司,盛付通,并银罚字〔2018〕第9号,违反了《银行卡收单业务管理办法》规定。,《银行卡收单业务管理办法》,警告及罚款人民币4万元。,4,中国人民银行太原中心支行,太原,2018-09-14,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
79,68,交易管理,网络支付管理,交易结算,付临门支付有限公司山西分公司,付临门,并银罚字〔2018〕第5号,违反了《非金融机构支付服务管理办法》规定。,《非金融机构支付服务管理办法》,警告及罚款人民币9万元。,9,中国人民银行太原中心支行,太原,2018-09-11,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
80,68,交易管理,银行卡收单管理,交易结算,付临门支付有限公司山西分公司,付临门,并银罚字〔2018〕第5号,违反了《银行卡收单业务管理办法》规定。,《银行卡收单业务管理办法》,警告及罚款人民币9万元。,9,中国人民银行太原中心支行,太原,2018-09-11,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
81,69,交易管理,网络支付管理,交易结算,随行付支付有限公司山西分公司,随行付,并银罚字〔2018〕第6号,违反了《非金融机构支付服务管理办法》规定。,《非金融机构支付服务管理办法》,对公司处以罚款人民币7万元。,7,中国人民银行太原中心支行,太原,2018-09-11,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
82,69,交易管理,银行卡收单管理,交易结算,随行付支付有限公司山西分公司,随行付,并银罚字〔2018〕第6号,违反了《银行卡收单业务管理办法》规定。,《银行卡收单业务管理办法》,对公司处以罚款人民币7万元。,7,中国人民银行太原中心支行,太原,2018-09-11,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
83,70,交易管理,网络支付管理,交易结算,山西金虎信息服务有限公司,金虎,并银罚字〔2018〕第7号,违反了《非金融机构支付服务管理办法》规定。,《非金融机构支付服务管理办法》,对公司处以罚款人民币3万元。,3,中国人民银行太原中心支行,太原,2018-09-11,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
84,71,交易管理,网络支付管理,交易结算,南京市市民卡有限公司 ,南京市民卡,"（南银）罚字
〔2018〕第8号",违反非金融机构支付服务管理办法相关规定,《非金融机构支付服务管理办法》,对公司处以罚款人民币3万元。,3,中国人民银行南京分行,南京,2018-08-30,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
85,72,交易管理,网络支付管理,交易结算,"重庆市公众城市一卡通有限责任公司
",重庆一卡通,渝银罚〔2018〕19号,违反非金融机构支付服务管理办法相关规定,《非金融机构支付服务管理办法》,对单位处以6 万元罚款,6,中国人民银行重庆营业管理部,重庆,2018-08-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
86,73,交易管理,银行卡收单管理,交易结算,中汇电子支付有限公司重庆分公司,中付,渝银罚〔2018〕20号,违反非金融机构支付服务管理规定,《非金融机构支付服务管理办法》,对单位处以3万元罚款,3,中国人民银行重庆营业管理部,重庆,2018-08-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
87,73,交易管理,银行卡收单管理,交易结算,中汇电子支付有限公司重庆分公司,中付,渝银罚〔2018〕20号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对单位处以3万元罚款,3,中国人民银行重庆营业管理部,重庆,2018-08-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
88,74,交易管理,银行卡收单管理,交易结算,通联支付网络服务股份有限公司重庆分公司,联通,渝银罚〔2018〕21号,非金融机构支付服务管理规定,《非金融机构支付服务管理办法》,对单位处以3万元罚款,3,中国人民银行重庆营业管理部,重庆,2018-08-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
89,74,交易管理,银行卡收单管理,交易结算,通联支付网络服务股份有限公司重庆分公司,联通,渝银罚〔2018〕21号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对单位处以3万元罚款,3,中国人民银行重庆营业管理部,重庆,2018-08-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
90,75,交易管理,网络支付管理,交易结算,重庆千礼科技有限公司,千礼,渝银罚〔2018〕22号,违反非金融机构支付服务管理办法相关规定,《非金融机构支付服务管理办法》,对单位处以3万元罚款,3,中国人民银行重庆营业管理部,重庆,2018-08-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
91,76,交易管理,银行卡收单管理,交易结算,乐刷科技有限公司重庆分公司,乐刷,渝银罚〔2018〕23号,非金融机构支付服务管理规定,《非金融机构支付服务管理办法》,对单位处以3万元罚款,3,中国人民银行重庆营业管理部,重庆,2018-08-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
92,76,交易管理,银行卡收单管理,交易结算,乐刷科技有限公司重庆分公司,乐刷,渝银罚〔2018〕23号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,对单位处以3万元罚款,3,中国人民银行重庆营业管理部,重庆,2018-08-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
93,77,交易管理,银行卡收单管理,交易结算,"北海石基信息技术有限
公司",北海石基,"南宁银罚
〔2018〕4号",违反非金融机构支付服务管理规定,《非金融机构支付服务管理办法》,警告和罚款19 万元,19,中国人民银行南宁中心支行,南宁,2018-08-08,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
94,77,交易管理,银行卡收单管理,交易结算,"北海石基信息技术有限
公司",北海石基,"南宁银罚
〔2018〕4号",违反网络支付业务相关法律制度规定,《非金融机构支付服务管理办法》,警告和罚款19 万元,19,中国人民银行南宁中心支行,南宁,2018-08-08,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
95,77,交易管理,银行卡收单管理,交易结算,"北海石基信息技术有限
公司",北海石基,"南宁银罚
〔2018〕4号",违反银行卡收单业务规定,《银行卡收单业务管理办法》,警告和罚款19 万元,19,中国人民银行南宁中心支行,南宁,2018-08-08,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
96,78,交易管理,银行卡收单管理,交易结算,成都摩宝网络科技有限公司,摩宝,成都摩宝网络科技有限公司,违反网络支付业务相关规定,《银行卡收单业务管理办法》,对单位处 13万元罚款,13,中国人民银行成都分行,成都,2018-08-08,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
97,78,交易管理,银行卡收单管理,交易结算,成都摩宝网络科技有限公司,摩宝,成都摩宝网络科技有限公司,违反银行卡收单业务相关规定,《银行卡收单业务管理办法》,对单位处 13万元罚款,13,中国人民银行成都分行,成都,2018-08-08,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
98,79,交易管理,银行卡收单管理,交易结算,现代金融控股（成都）有限公司,现代金融控股（成都）,成银罚字〔2018〕8号,违反网络支付业务相关规定,《银行卡收单业务管理办法》,对单位处 9万元罚款,9,中国人民银行成都分行,成都,2018-08-08,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
99,79,交易管理,银行卡收单管理,交易结算,现代金融控股（成都）有限公司,现代金融控股（成都）,成银罚字〔2018〕8号,违反银行卡收单业务相关规定,《银行卡收单业务管理办法》,对单位处 9万元罚款,9,中国人民银行成都分行,成都,2018-08-08,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
100,80,交易管理,网络支付管理,交易结算,支付宝（中国）网络技术有限公司,支付宝,上海银罚字〔2018〕11号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币412万元,412,中国人民银行上海分行,上海,2018-08-06,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
101,81,客户管理,商户管理,商户资质审核及信息更新,国付宝信息科技有限公司,国付宝,银管罚〔2018〕36号,存在假名账户。,《支付机构预付卡业务管理办法》《中华人民共和国反洗钱法》,国付宝信息科技有限公司未按照规定为身份不明的客户提供服务或与其进行交易，根据《中华人民共和国反洗钱法》第三十二条第一款第四（项）规定，处以49万元罚款；未按照规定履行客户身份识别义务，根据《支付机构反洗钱和反恐怖融资管理办法》（银发〔2012〕54号文印发）第四十九条、《中华人民共和国反洗钱法》第三十二条第一款第一（项）的规定，处以50万元罚款；未按照规定保存客户身份资料和交易记录，根据《支付机构反洗钱和反恐怖融资管理办法》（银发〔2012〕54号文印发）第四十九条、《中华人民共和国反洗钱法》第三十二条第一款第二（项）规定，处以50万元罚款；未按照规定报送可疑交易报告，根据《中华人民共和国反洗钱法》第三十二条第一款第三（项）规定，处以50万元罚款；对国付宝信息科技有限公司合计处以199万元罚款，并根据《支付机构反洗钱和反恐怖融资管理办法》（银发〔2012〕54号文印发）第四十九条、《中华人民共和国反洗钱法》第三十二条第一款第一（项）、第二（项）、第三（项）、第四（项）规定，对相关责任人共处以19万元罚款。,417,中国人民银行营业管理部,北京,2018-08-06,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
102,81,客户管理,商户管理,信息、交易记录、操作记录留存,国付宝信息科技有限公司,国付宝,银管罚〔2018〕36号,未按照规定保存客户身份资料和交易记录。,《支付机构预付卡业务管理办法》《中华人民共和国反洗钱法》,国付宝信息科技有限公司未按照规定为身份不明的客户提供服务或与其进行交易，根据《中华人民共和国反洗钱法》第三十二条第一款第四（项）规定，处以49万元罚款；未按照规定履行客户身份识别义务，根据《支付机构反洗钱和反恐怖融资管理办法》（银发〔2012〕54号文印发）第四十九条、《中华人民共和国反洗钱法》第三十二条第一款第一（项）的规定，处以50万元罚款；未按照规定保存客户身份资料和交易记录，根据《支付机构反洗钱和反恐怖融资管理办法》（银发〔2012〕54号文印发）第四十九条、《中华人民共和国反洗钱法》第三十二条第一款第二（项）规定，处以50万元罚款；未按照规定报送可疑交易报告，根据《中华人民共和国反洗钱法》第三十二条第一款第三（项）规定，处以50万元罚款；对国付宝信息科技有限公司合计处以199万元罚款，并根据《支付机构反洗钱和反恐怖融资管理办法》（银发〔2012〕54号文印发）第四十九条、《中华人民共和国反洗钱法》第三十二条第一款第一（项）、第二（项）、第三（项）、第四（项）规定，对相关责任人共处以19万元罚款。,417,中国人民银行营业管理部,北京,2018-08-06,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
